Country Name,Country Code,Series Name,Series Code,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Iraq,IRQ,Trade (% of GDP),NE.TRD.GNFS.ZS,42.49956258,44.83508837,15.12628182,3.79114097,1.921145633,0.544696684,0.099582362,0.020999232,0.026888483,106.1881699,132.2431605,138.3146012,125.3365956,126.780256,119.7620477,154.2345253,120.2339771,115.7425403,89.65051986,74.09285311,81.05554327,78.68737882,73.49747962,72.17132822,73.60868459,67.41001841,68.98248686,69.5917686,54.58832019,59.78091239,65.80179177,68.98993842,57.7423164,61.50326831
Iraq,IRQ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,180.952381,83.61581921,207.6923077,448.5,387.3108478,-16.11732575,23.06319968,14.76877356,12.57776234,4.978962132,16.3740815,19.3166946,33.6162106,26.96190682,36.95948092,53.23096291,-10.06749258,12.66285283,6.873615472,2.877747253,5.801455371,6.089096416,1.879498007,2.235974079,1.393330288,0.556521397,0.184058899,0.367441489,-0.19896538,0.574162679,6.041864891
Iraq,IRQ,Population growth (annual %),SP.POP.GROW,2.320005527,2.659499082,1.240017963,1.052655325,2.959018981,4.802528304,4.772578764,3.349717939,3.191889139,3.092298816,3.141804875,3.233785771,3.277527852,3.11897283,3.159049888,3.015232358,2.851283058,2.963743471,0.733263441,-0.78904254,2.020299895,3.683912963,3.231385218,3.531816785,4.538921682,4.721566834,3.531019332,2.727109769,2.391512274,2.230550464,2.332357697,2.275011157,2.219386695,2.241273471
Jordan,JOR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4080.287495,3472.225097,3202.33686,3010.137312,3264.844726,3238.475417,3240.445451,3303.287179,3262.106152,3280.697932,3302.299427,3341.656443,3412.076732,3518.766353,3644.624346,3713.151936,3935.157047,4151.61313,4209.86864,4287.352298,4489.955455,4615.230678,4621.574285,4631.677038,4677.47614,4556.520237,4282.118728,4042.756781,3933.147046,3940.701992,3928.770268,3919.064269,3806.879494,3874.327078
Jordan,JOR,Trade (% of GDP),NE.TRD.GNFS.ZS,108.1247872,130.4473304,149.4476839,137.2616633,131.6446986,130.4852332,118.3361761,124.5826882,131.0591233,120.7371129,109.0524029,104.4703736,110.3289046,109.2854786,114.0388578,115.7068353,134.6216119,146.9088913,141.7473818,145.9942463,140.912926,112.1519982,114.2226777,118.6996795,117.8555877,111.451528,109.9388055,95.35791223,88.7207179,89.73160051,87.63591519,85.6878335,66.05994881,80.33286994
Jordan,JOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,6.613226453,25.7127193,16.19213756,8.155495979,3.995835606,3.316666667,3.516696241,2.353124513,6.501218027,3.037884203,3.091666667,0.606256568,0.666880926,1.772204374,1.83299389,1.63,3.361868215,3.493685346,6.251724667,4.74390639,13.971231,-0.739069743,4.845518759,4.162441629,4.515229567,4.824623143,2.89947905,-0.87685136,-0.778430463,3.323894476,4.462311085,0.761514047,0.333294351,1.346093772
Jordan,JOR,Population growth (annual %),SP.POP.GROW,4.6607576,4.787586848,7.815196245,7.785242866,5.286526779,5.200191381,4.791034027,4.095487454,3.320045031,2.686609482,2.311413859,2.148591838,2.072604791,2.056854723,2.108443768,2.214620774,2.412958417,2.477130681,6.388707243,6.035299827,2.354279761,2.149687861,2.151093317,2.482027727,1.41635205,5.196414679,9.539208986,8.217983292,4.723252544,2.2516003,2.204129984,1.983438225,1.795432282,1.834191627
Kuwait,KWT,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,17116.06559,20743.68673,20140.78336,14812.92001,22382.84195,29323.85311,31946.49009,33156.84717,32417.96262,32152.43657,32306.66855,30798.09455,31341.97791,30573.42826,30702.21604,35169.63339,37918.54038,40451.25495,41137.96971,41113.86917,39852.5127,35124.08521,32568.51498,33545.34607,33578.33082,32311.17952,31073.15348,29882.21269,29454.44212,27048.37054,26706.01903,26580.2263,25541.5075,26354.94567
Kuwait,KWT,Trade (% of GDP),NE.TRD.GNFS.ZS,90.50440121,93.77143755,103.0110002,142.6129543,94.68806497,92.0570352,93.18428428,94.31962435,91.47214474,92.44354655,94.95984317,85.36811455,86.6183245,86.85046729,81.22519413,86.55517551,89.29764168,92.24268009,89.7130932,91.73250339,92.68345625,88.81106499,97.02797106,99.11649273,101.0114352,97.60549124,100.0371898,98.69998841,96.15767252,97.84004663,102.7856307,91.68571238,82.01074583,81.94037976
Kuwait,KWT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.46813288,3.342033591,9.833635315,9.058188362,-0.545471214,0.382541365,2.534435262,2.686727566,3.553985697,0.682191435,0.129658288,2.990810359,1.812946139,1.3,0.888450148,0.961350294,1.248564437,4.142975836,3.057013392,5.484949833,10.58270979,4.609595484,4.496402878,4.839403499,3.255146003,2.682296841,2.908926729,3.271701661,3.198397767,2.171832985,0.543133148,1.091848027,2.101729548,3.423629476
